mdl,anli_r1,anli_r2,anli_r3,fevernli,lingnli,mnli_m,mnli_mm,wanli
bert-large-uncased,0.48270347714424133,0.48773622512817383,0.451908677816391,0.5643797516822815,0.573884904384613,0.603411853313446,0.6412054300308228,0.5418515801429749
deberta-v3-large,0.5047023296356201,0.4564654529094696,0.48136040568351746,0.5165639519691467,0.5079334378242493,0.5259614586830139,0.5337976813316345,0.4810263514518738
ModernBERT-large,0.48038607835769653,0.4695518910884857,0.4772472381591797,0.5431410074234009,0.5235768556594849,0.5446478128433228,0.5707173943519592,0.5347030162811279
bart-large-mnli,0.6452186107635498,0.5848528742790222,0.6283900141716003,0.6195299625396729,0.9598480463027954,0.9802534580230713,0.9808505773544312,0.8428453207015991
nli-roberta-base,0.5253052711486816,0.5241543650627136,0.5607145428657532,0.6122305393218994,0.9423032999038696,0.9754992127418518,0.9752432107925415,0.8234304189682007
bert-base-uncased-nli,0.7514955401420593,0.6616721153259277,0.6604197025299072,0.9176524877548218,0.9121941924095154,0.9617670178413391,0.9627053141593933,0.8562048673629761
bert-large-uncased-nli,0.7779980897903442,0.671364426612854,0.6748026609420776,0.9199588298797607,0.9319450259208679,0.9703500270843506,0.9684200286865234,0.8674867749214172
bert-large-uncased-nli-triplet,0.766161322593689,0.6577790379524231,0.6802017688751221,0.9176369905471802,0.9377020001411438,0.9718764424324036,0.9686720967292786,0.8732360601425171
deberta-v3-base-nli,0.8866366147994995,0.7672088146209717,0.7649846076965332,0.9329801201820374,0.9679679274559021,0.9823570847511292,0.9828658103942871,0.9006599187850952
deberta-v3-large-nli,0.9363165497779846,0.8553478717803955,0.8560767769813538,0.9335452914237976,0.9742300510406494,0.9856722950935364,0.985546886920929,0.9140201807022095
deberta-v3-large-nli-triplet,0.9356077313423157,0.8608293533325195,0.8514518737792969,0.9244145750999451,0.9746686220169067,0.9859107732772827,0.9870253205299377,0.9146898984909058
modernbert-base-nli,0.8363722562789917,0.7083266377449036,0.7254828214645386,0.9159718155860901,0.9525363445281982,0.9771196842193604,0.9769582748413086,0.8930566906929016
modernbert-large-nli,0.8937370181083679,0.7566628456115723,0.7773963809013367,0.9198267459869385,0.9661046266555786,0.9831834435462952,0.9837715029716492,0.9045192003250122
modernbert-large-nli-triplet,0.9017470479011536,0.7636753916740417,0.7844517827033997,0.9189614653587341,0.9705776572227478,0.9849370718002319,0.9857475757598877,0.9105818867683411
ms-marco-MiniLM-L6-v2,0.4732886850833893,0.49611490964889526,0.4777279496192932,0.6345032453536987,0.5769997835159302,0.5987215042114258,0.6145772337913513,0.5109472274780273
gte-reranker-modernbert-base,0.5033671259880066,0.4914720058441162,0.5343021750450134,0.8112213611602783,0.8758744597434998,0.9242700934410095,0.93165522813797,0.7620550394058228
bge-reranker-base,0.4507179260253906,0.5186541676521301,0.5160558819770813,0.7167373299598694,0.8529778122901917,0.9236741065979004,0.9297587275505066,0.7356364130973816
bge-reranker-large,0.5052642822265625,0.5608220100402832,0.5470345616340637,0.7453643083572388,0.9021072387695312,0.9457203149795532,0.9510985016822815,0.7781214714050293
Qwen3-Reranker-0.6B,0.5118613839149475,0.49869632720947266,0.5293924808502197,0.7094064354896545,0.8548840284347534,0.8931331634521484,0.9087382555007935,0.7500691413879395
Qwen3-Reranker-8B,0.7212534546852112,0.6860842704772949,0.6793150305747986,0.7150664925575256,0.9454001784324646,0.9575690627098083,0.966005265712738,0.8046663999557495
all-MiniLM-L6-v2,0.4527072012424469,0.489498496055603,0.5079801082611084,0.6527435779571533,0.6106075048446655,0.6917737722396851,0.7075952291488647,0.5428766012191772
e5-base-v2,0.431510865688324,0.4737372100353241,0.4836438298225403,0.6846421360969543,0.7226024270057678,0.814754068851471,0.8314396739006042,0.6122360229492188
e5-large-v2,0.4286067485809326,0.47735610604286194,0.4960073232650757,0.6903953552246094,0.7347568869590759,0.816893458366394,0.834976077079773,0.6213961839675903
e5-mistral-7b-instruct,0.4211606979370117,0.48445847630500793,0.50258868932724,0.6624438166618347,0.7800946235656738,0.8511406183242798,0.86878502368927,0.6724721193313599
bge-base-en-v1.5,0.4290473163127899,0.47094103693962097,0.4927898347377777,0.7241833209991455,0.7385422587394714,0.8318305015563965,0.8513352870941162,0.6315290927886963
bge-large-en-v1.5,0.43074214458465576,0.47765278816223145,0.5001278519630432,0.7418626546859741,0.7605609893798828,0.8465267419815063,0.8659600019454956,0.6512205004692078
gte-base-en-v1.5,0.45248693227767944,0.48473772406578064,0.4933820962905884,0.6212055683135986,0.7359958291053772,0.8337894082069397,0.8512561321258545,0.6278914213180542
gte-large-en-v1.5,0.45952239632606506,0.4912157654762268,0.5043111443519592,0.5734277963638306,0.6960275769233704,0.802239179611206,0.8216205835342407,0.6144838333129883
gte-modernbert-base,0.46053388714790344,0.4772616922855377,0.5012375116348267,0.6571173667907715,0.7362518906593323,0.8281456232070923,0.8476048707962036,0.6428642868995667
Qwen3-Embedding-0.6B,0.43731456995010376,0.4678705632686615,0.47692304849624634,0.6953624486923218,0.6753080487251282,0.7603938579559326,0.780921220779419,0.5994597673416138
Qwen3-Embedding-8B,0.4268699884414673,0.4892057776451111,0.5226938724517822,0.7446978092193604,0.753021240234375,0.8241517543792725,0.8394347429275513,0.6420387029647827
gemma-3-270m-it,0.4993751347064972,0.5112747550010681,0.5002025961875916,0.47153350710868835,0.5173728466033936,0.5056321024894714,0.4946295917034149,0.48054173588752747
gemma-3-1b-it,0.5124525427818298,0.5150644183158875,0.5050436854362488,0.48277199268341064,0.5627332925796509,0.5572871565818787,0.5420554876327515,0.5206288695335388
Llama-3.2-3B-Instruct,0.5309246182441711,0.5559961199760437,0.542397677898407,0.5308043360710144,0.6076636910438538,0.5847095251083374,0.5840003490447998,0.5755872130393982
Qwen3-4B,0.6131992340087891,0.5758168697357178,0.5803828835487366,0.5943979620933533,0.7660202980041504,0.7389401793479919,0.7594238519668579,0.6687498092651367
Phi-4-mini-instruct,0.5350559949874878,0.5326194167137146,0.5105019807815552,0.48668593168258667,0.541952908039093,0.5338348150253296,0.5238794684410095,0.516133189201355
Qwen3-8B,0.6130104660987854,0.5979303121566772,0.5875213146209717,0.608424186706543,0.7737524509429932,0.7404603362083435,0.7525840997695923,0.6667462587356567
Mistral-Nemo-Instruct-2407,0.6623801589012146,0.6304553747177124,0.6276293992996216,0.6079020500183105,0.7492140531539917,0.7475743293762207,0.7461576461791992,0.6557536125183105
